bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built,sqft_living15,sqft_lot15,caro
3,1,990,8528,1,3,6,990,0,1966,1228,8840,1
4,2.5,1980,7403,2,3,7,1980,0,1988,1980,7510,0
3,1,1200,10500,1,3,7,1200,0,1962,1350,10500,0
4,1.5,1160,6400,1,4,7,1160,0,1975,1160,6400,1
4,2.25,2160,8811,1,3,8,1360,800,1978,2090,8400,0
4,2.75,2640,7500,1,3,8,1620,1020,1967,1980,7875,0
3,1.75,2160,7140,1,4,7,1670,490,1978,1930,7350,0
4,1.75,1490,10000,1,4,8,1100,390,1969,2190,8910,1
3,2.5,1690,5025,2,3,8,1690,0,2003,2550,5001,1
3,1.5,1300,7370,1,4,7,900,400,1976,1430,7500,1
4,2.25,1720,9753,1,4,7,1120,600,1978,1510,9753,1
6,2.75,2940,7350,1,3,8,1780,1160,1978,2120,8236,0
3,2.5,2740,11872,2,3,9,2740,0,1990,2570,10377,0
3,2.5,2070,9900,1,3,8,1420,650,1979,2070,8250,0
3,1.75,1510,10248,1,3,7,1510,0,1969,1510,9753,1
5,3,3450,9914,2,3,9,3450,0,2004,2860,9721,0
4,2.25,2390,11250,2,3,9,2390,0,1988,2480,11250,1
4,2.5,2160,7725,1,4,8,1460,700,1978,2060,8250,0
3,1,1384,8960,1,4,6,1384,0,1965,1000,8470,0
4,3,3590,8249,2,3,9,3590,0,1997,2860,7995,0
3,2,1440,7187,1,4,7,970,470,1981,1440,7187,1
3,2.5,2680,7757,2,3,8,2680,0,1990,2430,8231,0
3,1.75,1600,14250,1,3,7,1070,530,1979,2140,14960,1
3,2.5,3170,12750,2,3,10,2360,810,1995,2970,13125,0
5,1.75,1930,8040,1,4,8,1930,0,1966,2370,8000,0
4,2.25,1900,8600,1,4,8,1900,0,1975,2120,8000,0
3,1.75,1920,11340,1,4,7,1230,690,1977,1980,9638,1
3,2,2070,9000,1,4,7,1450,620,1969,1630,7885,0
4,1.75,1810,7480,1,3,7,1230,580,1977,1870,9594,0
3,1.75,1050,7854,1,4,7,1050,0,1975,1360,7668,1
4,1.75,1730,8320,1,3,7,1230,500,1977,1840,9800,1
4,2.5,2610,7091,2,3,9,2610,0,1987,2610,7773,0
3,1,1260,8378,1,4,6,840,420,1959,1140,8496,1
3,1,1070,6440,1,4,7,1070,0,1971,1190,6532,1
4,3.5,3660,14401,2,3,10,2660,1000,1994,2780,10653,0
3,1.75,2270,9000,1,4,8,1330,940,1978,2090,8400,0
5,2.5,3840,16905,2,3,11,3840,0,1991,3270,12133,0
2,2.25,2690,15000,1,3,8,1870,820,1987,2690,15000,1
3,2.25,1720,9000,1,4,8,1320,400,1969,1930,8000,1
3,2,1650,6000,1,3,7,1650,0,1990,1870,6000,0
5,2.75,2000,5885,1,3,7,1260,740,1994,1960,6514,0
3,2.5,2690,8577,2,3,9,2690,0,1987,2570,8066,0
4,2,1220,9100,1.5,4,7,1220,0,1970,1160,7700,1
3,1,1100,8560,1,3,6,1100,0,1961,1120,8470,1
4,2.5,2240,9701,2,3,9,2240,0,1989,2240,9410,1
3,1.5,1180,7000,1,4,7,1180,0,1977,1180,7370,1
3,1.75,1760,7482,1,4,8,1760,0,1966,2000,7500,1
4,2.5,2430,9103,2,3,8,2430,0,1990,2260,8090,0
4,2.25,2150,8250,1,4,7,1240,910,1978,2050,7875,0
5,3.75,2800,9900,1,3,7,2800,0,1964,1700,13200,0
4,1.5,1430,8775,1,3,7,1030,400,1979,1390,7800,1
3,2,1370,9760,1,4,7,1110,260,1979,1640,9040,1
4,2.5,2600,11951,2,3,10,2600,0,1988,2820,12093,1
4,2.75,1770,10184,1,3,8,1250,520,1979,2070,8320,0
4,2.5,2190,7294,2,3,8,2190,0,2003,2240,7379,1
3,2.5,1500,7350,1,2,7,1060,440,1979,1390,7770,1
4,2.25,1860,7000,1,3,8,1120,740,1979,1990,8937,0
4,1.75,2140,8162,1,3,7,1420,720,1968,2040,7632,0
3,2.5,1860,6607,2,3,7,1860,0,1989,1760,6766,1
4,2.25,2270,12000,1,4,7,1290,980,1976,2030,23980,0
4,2.5,1750,6397,2,3,7,1750,0,1988,1940,6502,1
3,2.5,1720,8755,1,3,8,1000,720,1983,1720,8690,1
4,2.75,2200,8580,1,3,8,1860,340,1991,2290,7816,0
4,2.5,1960,7230,2,3,8,1960,0,2002,1850,7208,0
3,1.5,1180,7000,1,4,7,1180,0,1977,1630,7500,1
4,2.75,2990,11210,1,4,8,1880,1110,1977,2790,9858,0
3,1.75,1320,6530,1,4,7,1320,0,1989,1620,6817,1
3,1,1170,8816,1,4,6,1170,0,1966,1200,9108,1
3,1,1040,8970,1,4,6,1040,0,1961,1040,8450,1
4,2.5,2980,5674,2,3,8,2980,0,2003,2610,5495,0
4,2.25,2510,8165,1,4,7,1610,900,1972,1940,8250,0
4,1.75,1250,12705,1,4,7,1250,0,1971,1390,8550,1
3,1,1350,9680,1,4,7,820,530,1959,1320,9225,0
3,2.5,2040,9765,2,3,8,2040,0,1985,2350,10150,1
3,1.75,1360,10573,1,4,7,1360,0,1984,1580,8280,1
3,2.25,2210,8000,2,4,8,2210,0,1969,1990,8000,0
4,1.75,2250,16000,1,3,8,1450,800,1957,1930,16000,0
3,1.75,1420,6980,1,5,7,820,600,1980,1470,7319,0
3,1,880,19600,1,4,7,880,0,1978,880,10500,1
4,2.75,2690,8874,1,3,8,1370,1320,1980,1990,7875,0
4,1.75,2520,10890,1,3,7,1260,1260,1979,2090,12375,0
3,2.5,2060,7458,2,3,9,2060,0,1989,2480,7743,1
3,1,990,8840,1,3,6,990,0,1966,1120,8625,1
3,2,1530,8749,1,3,7,1530,0,1995,1750,8749,1
3,1.5,1410,8415,1,4,7,780,630,1982,1440,7361,1
3,2.5,2550,8170,2,3,8,2550,0,1985,1840,8823,0
4,2.5,3490,9030,1.5,4,8,3490,0,1969,2540,8400,0
3,2.25,1430,9150,1,3,7,1070,360,1984,1430,6364,0
3,2.25,1610,7084,1,4,8,1280,330,1968,2170,8505,0
4,2.75,2390,7330,2,3,7,2390,0,1989,1980,6735,0
4,2.25,2600,6390,1,3,8,1390,1210,1978,2110,6700,0
3,2.5,2450,7062,2,3,8,2450,0,1993,1960,7200,0
3,1,1080,10200,1,4,7,1080,0,1962,1230,10400,1
3,2.25,1940,9100,1,4,8,1630,310,1966,2080,9100,1
3,2.5,2100,6021,2,3,7,2100,0,1992,2091,7547,0
3,2.25,1430,5999,2,3,7,1430,0,1987,1600,5999,1
4,3.5,1850,6519,2,3,7,1130,720,1986,1280,6664,0
4,2.25,2270,9600,1,3,7,1290,980,1976,1930,15000,0
5,2.25,3120,10400,2,3,8,3120,0,1980,2160,8267,0
3,2.5,2100,7587,2,3,9,2100,0,1990,2330,8119,1
3,2.5,2730,7372,2,3,9,2730,0,1998,2710,8343,0
4,1.75,2000,25700,1,4,7,1150,850,1958,2420,27500,1
4,1.75,1880,12150,1,3,7,1280,600,1976,1980,9680,1
3,2.5,1800,8697,2,3,8,1800,0,1987,1770,8390,1
3,2,1260,22100,2,4,7,1260,0,1981,1430,13000,1
4,1.75,1960,8400,1,4,8,1960,0,1967,2080,8400,0
4,2.5,2460,7800,1,3,8,1500,960,1977,2210,7800,0
3,1.75,1230,7200,1,3,7,1230,0,1986,1540,7210,1
3,2,1900,7980,1,4,7,1340,560,1977,1690,7840,0
3,2.75,1910,15508,1,3,8,1210,700,1984,2450,7989,1
4,2.75,2930,22000,1,4,9,1580,1350,1978,2930,9758,1
3,2.75,3230,75889,2,3,7,3230,0,1925,2560,72229,1
4,2.5,2100,14773,2,3,8,2100,0,1998,2370,15440,0
4,2.5,2830,7350,1,3,8,1690,1140,1982,2350,7768,0
4,2.5,2180,11132,1,4,8,1620,560,1978,1950,13801,0
3,2.5,1850,6676,2,3,7,1850,0,1986,1700,6663,0
4,2.5,2890,17349,2,3,8,2890,0,1994,2330,22356,0
4,2.25,2090,7400,1,3,9,1670,420,1973,2260,8000,0
4,2.25,1950,7280,2,4,8,1950,0,1979,1910,7280,0
3,1.75,1370,10050,1,4,7,1370,0,1966,1720,10050,1
4,2.25,1960,10400,1,4,8,1220,740,1985,1650,8660,0
3,2.25,2110,7350,1,3,8,1530,580,1980,2640,7777,0
4,1.75,1880,7632,1,4,7,1180,700,1978,1840,8528,0
4,2.25,1995,7102,2,4,8,1995,0,1981,1880,7950,0
3,1,1070,7615,1,4,7,1070,0,1969,1240,6906,1
3,2,2350,8459,1.5,3,9,2350,0,1989,2430,8459,0
4,1.5,1920,10403,1,3,7,1370,550,1959,1550,9619,0
3,2.25,1720,7885,2,3,8,1720,0,1983,2340,7885,1
4,2.5,2720,7350,2,3,9,2720,0,1989,2570,8336,0
3,2.5,2550,7709,2,3,9,2550,0,1989,2410,9250,0
4,2.5,2500,9654,1,3,8,1830,670,1979,2500,8839,0
4,2.25,2820,16770,1,4,8,1920,900,1966,2320,13850,0
3,2.25,1720,9435,1,4,7,1220,500,1978,1690,7215,0
3,2.75,1920,7700,1,4,8,1320,600,1978,2040,8000,1
3,2.75,3580,14217,2,4,10,2210,1370,1989,3990,14674,1
3,1.75,1450,8378,1,4,8,1450,0,1978,1860,8496,1
4,2.75,2660,7754,1.5,3,8,1590,1070,1986,2250,7754,0
3,2.5,1680,5000,2,3,8,1680,0,1987,1720,5000,1
3,2.25,2540,7216,2,3,8,2540,0,1991,2140,7531,0
3,1,840,12091,1,3,6,840,0,1959,840,9324,0
3,1,840,12091,1,3,6,840,0,1959,840,9324,1
3,2.25,2510,9900,1,3,8,1610,900,1978,1940,8510,0
5,2.25,2600,9600,1,4,8,1810,790,1969,2070,9660,0
4,2.25,1880,6160,2,3,7,1880,0,1993,1580,6405,0
3,1,900,4750,1,4,6,900,0,1969,900,3404,0
3,2.5,2410,11900,1,4,9,1600,810,1989,3090,11902,1
3,1.75,1290,7210,1,3,7,1290,0,1984,1350,7509,1
3,2.5,3310,21096,2,3,9,3310,0,2004,3310,13835,0
3,1.75,1930,13350,1,3,8,1930,0,1967,2270,13350,1
3,2.25,1960,7414,1,3,7,1490,470,1984,1580,8038,0
3,2.5,3440,18167,2,3,11,3440,0,1991,3990,20239,1
4,1.5,1360,9323,1,4,7,1360,0,1968,1180,9611,1
5,1.75,2490,24969,1,4,8,1540,950,1959,2790,15600,1
5,2.5,2344,8000,1,4,8,1560,784,1976,2344,8000,1
4,2.5,1940,6206,2,3,7,1940,0,1990,2060,7092,0
3,1.75,1660,7350,1,2,8,1660,0,1979,1840,7673,0
3,1.75,1680,8725,1,3,8,1240,440,1978,2020,8352,1
3,2.25,1500,7615,1,3,7,1150,350,1984,1540,8649,0
3,1.75,1710,6400,1,4,7,1240,470,1976,1600,6400,1
4,1.75,1740,9344,1,3,7,1180,560,1978,1440,12884,0
4,2.5,2060,7720,2,3,8,2060,0,1995,1630,7720,0
3,1.75,1100,9750,1,4,6,1100,0,1967,1100,9900,1
5,2.5,3090,12750,1,3,8,1750,1340,1968,1760,25919,0
3,1,960,9563,1,5,7,960,0,1967,1280,9600,1
2,1,1122,9100,1,4,6,1122,0,1960,840,9344,1
3,2.25,1580,7941,2,4,7,1580,0,1986,1730,8051,1
4,2.25,2390,13002,2,3,8,2390,0,1987,2450,11200,0
4,2.25,2390,7350,2,3,8,2390,0,1990,2390,7350,0
4,2.25,3340,8000,2,4,8,3340,0,1973,2230,8000,0
4,1.75,1720,7200,1,3,7,1220,500,1974,1790,7200,0
4,3.25,4240,25639,2,3,10,3550,690,1989,3590,24967,0
3,1,1220,71191,1,3,6,1220,0,1952,1960,15378,1
3,2,1310,7000,1,4,7,1310,0,1979,1390,7500,1
3,2,1690,6750,1,3,7,1210,480,1977,1930,7350,0
3,2.25,1470,6808,1,3,7,1160,310,1984,1570,7881,1
3,1.75,1570,15570,1,3,7,1570,0,1981,2000,28200,0
4,3,2380,20277,1,3,8,1500,880,1999,2370,15440,0
2,1,1010,10057,1,3,6,1010,0,1961,1040,8591,1
3,2.25,1460,5818,1,3,7,1140,320,1986,1490,6031,1
3,1,1460,8400,1,4,6,1460,0,1962,1060,8563,1
4,1.5,1130,7840,1,4,7,1130,0,1970,1690,7840,1
2,2.5,2410,7500,1,3,7,1550,860,1978,1840,8800,0
4,2.5,2100,10750,1,4,8,2100,0,1967,2310,10425,1
5,2,1210,12538,2,3,7,1210,0,1982,1510,7700,1
3,1.75,1190,14777,1,4,7,1190,0,1965,2240,8325,1
3,1.75,2420,14862,1,3,8,1380,1040,1977,2550,14675,0
3,1,1040,8892,1,4,6,800,240,1958,820,9000,1
4,2.5,2441,7316,2,3,8,2441,0,2007,2724,7357,0
4,2.5,2190,8100,1,4,8,1250,940,1978,2100,8840,0
4,2.25,2000,10374,2,4,7,2000,0,1967,2170,10374,1
3,2.5,1830,8372,2,3,8,1830,0,1987,1770,8372,0
3,1,1290,6566,1,5,7,1290,0,1976,1690,6860,1
4,1.75,2020,8800,1,4,8,2020,0,1969,2320,8000,0
3,1.75,1740,8625,1,4,7,1240,500,1978,1980,8625,1
2,1,1440,6650,1,3,7,970,470,1980,1600,6847,0
4,2.25,1810,7601,1,3,7,1080,730,1986,1570,7601,1
4,1.75,2120,8520,1,3,7,1600,520,1978,2160,8400,0
3,1,1100,8680,1,3,6,1100,0,1962,1100,9220,1
3,1,1040,8925,1,4,6,1040,0,1961,1040,8925,1
3,2.25,2030,8690,1,4,8,1360,670,1986,1720,8800,0
4,2.5,1690,7260,1,3,7,1080,610,1979,1690,7700,0
4,2.75,1760,9222,1,3,7,1140,620,1971,1800,9222,0
2,1.75,2860,59612,1,3,8,1510,1350,1948,2720,59612,1
5,3.5,2960,12527,2,3,9,1940,1020,1986,2210,10952,0
3,1.75,1200,9085,1,4,7,1200,0,1968,1200,9085,1
3,2,1900,9513,1,3,8,1900,0,1995,1790,8028,1
2,1.75,1950,8200,1,3,8,1950,0,1975,2370,8000,0
3,2.25,1530,12000,1,3,7,1070,460,1979,2140,13636,1
3,2.75,3610,107386,1.5,3,8,3130,480,1918,2630,42126,0
4,1.75,2160,8000,1,4,9,1660,500,1976,2350,8200,1
3,1.75,1840,14005,1,3,8,1840,0,1983,2170,7992,1
4,2.5,2450,8932,2,3,8,2450,0,1990,2410,8775,0
3,2.5,2850,12593,2,3,9,2850,0,1997,2850,9435,0
3,3,2031,7702,2,3,9,2031,0,1988,2390,7700,1
3,2.75,3210,15939,2,3,10,3210,0,1998,2870,15939,1
3,2.5,3316,11447,2,3,9,3316,0,1986,3000,11447,0
3,2.25,1480,7200,1,3,7,1190,290,1975,1830,7200,1
3,1,1490,8239,1,4,6,1490,0,1963,1200,8470,0
4,2,1610,6650,1,3,7,1610,0,1989,1960,6650,1
3,1.5,1800,12196,1,4,7,1800,0,1966,1490,11730,1
4,2.75,2530,7350,1,5,8,1280,1250,1977,2280,7350,0
3,2,1920,8075,1,4,7,1510,410,1969,1920,7826,0
4,2.25,2580,8820,1,4,9,1620,960,1967,2140,8400,0
3,1,1000,8470,1,4,6,1000,0,1963,1020,8470,1
2,1.5,1400,9031,1,3,7,960,440,1982,1450,7658,0
3,1,970,9583,1,4,6,970,0,1967,970,7875,1
3,1.75,1850,7684,1,3,8,1320,530,1979,1940,7630,0
4,1.75,1670,8000,1,4,8,1670,0,1974,1720,8000,1
3,2,1850,8208,1,4,7,1180,670,1970,1790,8174,0
3,1.5,1630,10200,1,4,8,1300,330,1976,1960,6700,1
5,4.5,4850,40902,2,3,10,4850,0,2001,1640,13503,0
3,1.75,1770,29004,1,3,8,1770,0,1959,2300,24534,0
4,3.5,5844,10766,2,3,11,5844,0,2007,3413,10766,1
3,1.75,1820,8740,1,4,8,1820,0,1987,2210,8320,0
3,1.75,1560,10919,1,3,7,1560,0,1975,1730,10919,1
3,2.5,2060,7658,2,3,8,2060,0,2003,2250,7299,1
4,3,3610,18948,2,3,10,3610,0,1993,3568,18948,0
3,1.5,1520,6805,1,4,7,1040,480,1981,1440,7041,1
4,2.5,1770,6666,2,3,7,1770,0,1989,1780,6666,1
4,1,1340,8400,1,5,7,1340,0,1966,1120,8400,1
3,1.75,1460,12367,2,4,8,1120,340,1970,1970,18893,1
